作者,看板,標題,日期,內容
joyce2924 (Joyce),fruits,[廣宣] 大寮自產自銷玉女小番茄+橙蜜香小,Thu Dec 23 11:35:16 2021,"大家好

現在又是番茄的產季

之前有在板上宣傳自家番茄

感謝大家的支持


想跟大家說今年跟之前種的都一樣

是玉女小番茄和橙蜜香小番茄

以下是這次種的照片

請大家參考看看

https://imgur.com/s5atnJr

今年的番茄園也都有架網子
防止小鳥跑進來偷吃以及預防禽流感


https://imgur.com/vhUt9D5

玉女小番茄的玉照


https://imgur.com/v7n1PIj

橙蜜香的帥照




我們家的番茄都是自產自銷且用心經營
因為本身也會在田裡直接擦一擦就吃了
所以沒有農藥殘留的疑慮
此外我們的番茄沒有撒生長激素
所以沒有那麼大顆
但這也是為了食安著想


希望喜歡番茄的朋友可以參考看看

https://www.facebook.com/wangtomato11/
這是自家經營的粉絲頁
有任何問題可以在此提問


也有在蝦皮販售
https://goo.gl/wMcWFL



橙蜜香 一斤(600公克)
一盒裝 80元

橙蜜香 五斤裝  400元

玉女 一斤(600公克)
一盒裝130元

一紅+一黃 兩斤 200元


運費方面:
高雄市區(從一心路到左營巨蛋的範圍，此外小港鳳山大寮也都可以)滿1000免費外送
台灣本島一律用郵局寄送，運費會因數量地點而有所不同，下單前請先詢問，滿2000元免
運費喔~!

謝謝

"
cjo4h6c1129 (阿力),fruits,[發問] 紐西蘭蘋果 sonia?,Tue Dec 28 14:45:00 2021,"
請問有人記得大概兩、三年前出現過的紐西蘭蘋果 sonia嗎?

之前吃到覺得好好吃，就自己買了1箱(雖然只有30顆)

但是sonia耐放所以吃到後面還是覺得脆
口味又清爽
到現在偶爾還會想吃

只是好像最近都沒有出現在台灣市場上了
都是主打愛妃，但是我不喜歡...

有人知道現在哪裡還買得到嗎?

"
hedgehogs (刺蝟),fruits,[閒聊] 【柑橘秘密】為什麼台灣的橘子世界甜？橘子為何會變白臉變黑,Sun Jan  2 22:56:16 2022,"標題：
【柑橘秘密】為什麼台灣的橘子世界甜？橘子為何會變白臉變黑臉？快進來看柑橘大宅門

上下游記者 林怡均·新知·2021 年 12 月 30 日

小孩子才做選擇，我全都要，椪柑、桶柑、柳丁、佛利蒙柑通通來一顆！柑橘類是國內種
植面積最大的水果種類，除了吃鮮果，酸酸甜甜的柑橘也時常出現在果汁、果醬、甜點、
料理當中，增添獨特風味。柑橘起源於中國，攤開柑橘家族圖譜，會發現彼此各種柑橘彼
此交配後衍生出繁多品種，無限循環後變成了現在數也數不完的柑橘種類。

複雜的柑橘介紹讓專業的來，由兩位畢生研究柑橘的專家：嘉義大學園藝系名譽教授呂明
雄、農業試驗所前柑橘研究員黃阿賢詳細說給你聽。
https://www.newsmarket.com.tw/files/2019/11/IMG_8051-1360-780x520.jpg
成熟的柳丁 (攝影_Alittle)

Ｑ1：柑橘品種琳瑯滿目，整個柑橘家族到底有多少成員？
網路搜尋「柑橘」會找到上百種柑橘的名稱列表，呂明雄表示，最古老的柑橘原產於喜馬
拉雅山麓一帶，經基因分析，現有的柑橘屬植物多從枸櫞、橘與柚相互雜交而來。枸櫞果
皮厚、果肉少，柚是華人中秋應景的水果，橘則是指「寬皮柑」，易剝皮的椪柑便是寬皮
柑的經典款。

酸橙和枸櫞雜交生下的後代為「檸檬」，小花大葉橙和枸櫞雜交得到「萊姆」。而柚和橘
交配的後代為「甜橙」，所有橙字輩的柑橘屬作物都在此範疇。甜橙再與柚子交配則生出
「葡萄柚」，如此反覆雜交下誕生的柑橘成員數不勝數。
https://i.imgur.com/mbA0JVw.jpg
柑橘的起源與演化（資料來源／Nature，翻譯校對／呂明雄）

Ｑ2：哪一種柑橘作物最受歡迎？
呂明雄表示，柑橘在亞洲地區先流行，再傳至歐美，2019年全球柑橘總產量為1億5千7百
萬餘公噸，甜橙類便佔一半，其次為寬皮柑及其雜交種，再次為檸檬及萊姆、葡萄柚及柚
子。

甜橙之所以廣泛種植是因為加工需求，全球甜橙約七成至八成都製成濃縮果汁，不過從市
場趨勢來看，加工用甜橙需求正在走下坡，反而鮮食用寬皮柑的市占率20年來從12%提高
至22％，「因為易剝皮，非常符合現代人的食用需求。」檸檬及萊姆的崛起也是因為食用
需求改變，以前多為料理調味用，現代人發現檸檬及萊姆的富含維他命Ｃ、抗氧化效果，
因此用來當作飲料。
https://i.imgur.com/qZYYIso.jpg
柑橘的發源地（資料來源／Nature，翻譯校對／呂明雄）

Ｑ3：台灣人什麼時候開始吃橘子？
台灣人現在常吃的柑橘大多是清朝來台，呂明雄說明，台灣有三個原生種柑橘，分別是南
庄橙、香檬及番柑，不過並未普及。兩百多年前福建、廣東的漢人將椪柑、柳橙、文旦、
桶柑、檸檬等柑橘帶來台灣，後續台灣才開始出現商業栽培的柑橘。

柑橘來台後慢慢在各地發展出特色類型，呂明雄表示，自然狀態下柑橘果樹約每10萬株會
有1株出現變異，例如：雲林古坑出現無子柳橙變異、嘉義梅山找到少子柳橙 （雞蛋丁）
變異，台南的麻豆文旦柚則是柚子的變異、海梨柑則是桶柑的變異。
https://i.imgur.com/2yQCCNC.jpg
台灣香檬是台灣原生種柑橘（照片提供／黃阿賢）

而後日治時期、國民政府來台後又陸續引種，例如來自美國加州的美童柑、佛利蒙及茂谷
柑。除了正式引種，民間私下挾帶進來的也不少，像是珍珠柑、砂糖橘、帝王柑、虎頭柑
都是從中國帶來台的柑橘。
晚崙西亞橙跟臍橙則是花東特有，呂明雄說明，這兩種柑橘最早是在日治時期來台，當時
日本政府政策為「工業日本，農業台灣」，而西部地區已有椪柑、桶柑，因此選擇在花東
種植晚崙西亞及臍橙，回銷到日本。而後雖然政權更迭，但晚崙西亞橙跟臍橙仍舊留在東
部，成為獨特的柑橘種類。

Ｑ4：為何台灣橘子特別甜？
30年前台灣曾種有5萬多公頃的柑橘，是僅次於稻米的最大作物，呂明雄表示，加入WTO後
逐漸下滑，因為台灣的柑橘生產成本較高，美國、巴西等國的柑橘來台，國產柑橘難與之
競爭價格，「加入時便預測到了未來台灣柑橘面積可能萎縮，」因應措施便是提高國產柑
橘品質來做出市場區隔。

提升品質的關鍵便是甜度，原因在於進口柑橘偏酸。呂明雄說明，柑橘進口大國多為歐美
國家，產出的柑橘多偏酸，於是國內研究單位訂出的目標是兩年內讓國內柑橘的糖度提
高 2 度，為此，農研單位、大學農學院各自著眼於育種及栽培技術的改進。

甜度因此成為柑橘品質的重要指標，呂明雄表示，當時柑橘甚至有糖度出口規範，例如：
柳橙糖酸比須達20 : 1，例如糖度12度、酸度必須在0.6%以下。如此規範是基於市場調查
，發現華人口味偏好帶有微酸、甜度高的柑橘。

柑橘的品質及採收時間和氣候有關，黃阿賢解釋，低溫與乾燥是影響開花的關鍵。台灣冬
季有明顯低溫，柑橘幾乎都在冬季花芽發育完成，春季氣溫回升時萌發新芽同時開花，至
冬季時果實成熟。台灣生產的柑橘香氣足、糖酸適中，風味佳。果皮橙紅色中帶有少許綠
色，也頗討喜。

Ｑ5：聽說柑橘的農藥超多？
柑橘的病蟲害多，最大危害要數「柑橘黃龍病」，此病相當於柑橘果樹的絕症，1951年傳
入台灣後慢慢傳染到所有產區。農民擔心病蟲害影響賣相及產量，因此會使用農藥進行防
治，才使市場上留下了「柑橘農藥多」的刻板印象。

黃阿賢則表示，柑橘春季開花，秋冬才採收，有的甚至要拖到翌年春天才採收，一整年用
藥次數可能稍多，但是進入秋冬後溫度轉低，病蟲害少，用藥次數就會減少，只要合理用
藥就不會有殘留超標問題。他也指出，避免病害有一個關鍵就是要買「健康種苗」來種，
否則若樹苗本身就帶有病菌，種下去將後患無窮。

呂明雄補充，減少作物的農藥殘留已成全球消費趨勢，消費者、通路都會傾向購買農藥殘
留符合規範、零檢出的柑橘，就連一年一度的產地柑橘評鑑都會要求藥殘合格，「消費者
如果還是擔心農藥，可以選購有產銷履歷、友善、有機認證的柑橘。」
https://i.imgur.com/gDCvYZr.jpg
黃龍病葉片病徵之一：不規則黃化（圖片提供/黃阿賢）

Ｑ6：果園樹上橘子整顆變白色，到底發生什麼事？
這是因為柑橘果樹被塗上一層「防曬面膜」，呂明雄解釋，夏季溫度高且日照強，會把樹
上的柑橘果皮及果肉曬乾，農民為維持品質及產量，會噴灑「鈣粉」在植株及果實上，鈣
粉成份為碳酸鈣加上白膠。採收後、出貨前，農民在分級時會把鈣粉洗刷掉，即便少量殘
留在表皮，也對食用無害，消費者將外皮剝除即可。

黃阿賢表示，寬皮柑尤其是茂谷柑非常怕太陽，因此果實特別需要防曬。而檸檬跟萊姆就
比較適應高溫環境，因此在台灣最南端的屏東落腳還可加速生長。
https://i.imgur.com/S3WFvHx.jpg
茂谷柑塗「防曬面膜」（照片來源／東勢明正茂谷原宿）

Ｑ7：橘子果皮黑黑的，還能吃嗎？
這是被鏽壁蝨叮咬造成的「火燒柑」，鏽壁蝨在中小果期時，以口針穿刺果皮、吸食果肉
汁液，導致柑橘果皮的油胞破裂、內含精油流出，精油接觸空氣後氧化，才使果皮發黑。
黃阿賢說明，一般而言並不影響內在果實的食用風味。
https://i.imgur.com/eWjP39L.jpg
火燒柑（上下游資料照）

Q8：剝橘子都要先閉眼，為何橘子皮這麼刺激？
原因就是「精油」，所有柑橘作物的表皮都含有精油，可以殺菌、保護果實以減少病蟲危
害。不同品種的柑橘所含精油量不同。呂明雄表示，越是原始、野生品種的柑橘，精油的
香氣越濃厚越刺激，例如：椪柑、柚子、檸檬等，相對而言，甜橙類的果皮刺激較少。

Q9：挑好吃的橘子有沒有訣竅？
挑橘子的關鍵是季節及農民，呂明雄說明，正值秋冬產季的柑橘最好吃，9月至10月吃文
旦、10月有青皮椪柑、11月有柳丁、椪柑、帝王柑及臍橙，12月至1月帝王柑、和桶柑上
市，2月開始有茂谷柑，3月則是晚崙西亞橙接最後一棒，每款柑橘約莫可以採收1至2個月
。只要在產季內買到的柑橘通常都非常美味。如果更講究，可以跟有口碑的農夫直購，找
農會、產地推薦農民，通常不會踩雷。

黃阿賢也傳授挑選原則，好吃的柑橘要飽滿含水分，拿在手上有沉重感。果形要端正接近
典型的，例如茂谷柑是扁圓形，柳丁是短橢圓型，果形對了就會好吃。
https://i.imgur.com/k35sW7f.jpg
桶柑在過年前後盛產。挑橘子要選果型端正，拿在手上有沉重感（圖片提供／黃阿賢）

Q10：橘子可以放多久？久放要冰嗎？
橘子十分耐放也不用冰，呂明雄表示，商業販售的柑橘若要長期儲藏通常會以6°C至13°
C冷藏，但一般家用冰箱對柑橘來說太冷，且柑橘的果皮厚，只要不受傷、在室溫下可放
約 1 至 2 個月，且柑橘果實採收後一個月內糖度增加0.5至1度、酸度逐漸降低，風味口
感會更佳。

原文連結：
https://www.newsmarket.com.tw/blog/163011/


心得：
橘子，貴圈真亂

"
amoment (like this),fruits,[廣宣] 台東鳳梨釋迦，送禮好果，限時特惠版,Mon Jan  3 19:27:40 2022,"尾牙送禮不塞車，您我都方便

凡，下週1/10（一）起至1/15（六）到貨，為期一週，鳳梨釋迦10斤經濟箱，$600含運，
產地直送新鮮到家！！

及早送禮宅配不塞車，免擔心運送品質，搶先下單拿優惠唷！
https://i.imgur.com/fyl5b6k.jpg
https://i.imgur.com/fktDqEE.jpg
https://i.imgur.com/LAEcPXt.jpg
https://i.imgur.com/PFQdJ21.jpg
https://i.imgur.com/NDSbaAT.jpg


"
caryyrac (狹山樁江古田蓮荻生響),fruits,[抱怨] 最近我家附近開了間三角窗水果店,Tue Jan 11 12:02:54 2022,"
我家在左營福山里
我家附近最近開了一間三角窗水果店，且那間店位於我家去榮總的必經之路上


高雄市有很多的三角窗水果店

跟豆漿店與自助餐店一樣，
三角窗水果店的水果擺放與客人流動處所都位於半室內半室外，店員多是8+9
且占用人行道甚或馬路來擺水果或垃圾雜物，造成周遭環境髒亂擁擠。
(結果他對面也開了也間新的豆漿店Orz)


我希望我家附近有像是唐記精緻水果或義華路上三草品果或某間位於一心路上林森路與
民權路之間某間水果店那樣封閉式店內且店內有冷氣。我家附近並沒有像這樣的水果店。


"
jytr (175會不會嫁不出去),fruits,[廣宣] 六龜黑糖芭比蓮霧,Wed Jan 12 20:48:35 2022,"
一箱含運800元
約25-27顆

含箱9-10斤重

六龜黑糖芭比蓮霧
http://i.imgur.com/EqgbMxL.jpg

意者站內信提供收件人資料
姓名：
電話：
地址：

"
rexrick (乂o小龍乂),fruits,[廣宣] 老家種的茂谷柑,Wed Jan 12 22:44:03 2022,"台中老家東勢明正里茂谷柑，適合過年送禮或拜拜，

目前是產季，幫忙家裡賣，現摘要放過年比較好吃。

每科都有袋裝，可以延長保存時間。

一般建議買25號，大小適中，CP值也比較高，27比較好看

果皮上的白色粉末，是避免果實曬傷的碳酸鈣粉(CaCO3) ，並非農藥粉末，請安心食用。

茂谷柑都是禮盒裝，10斤

尺寸(肚圍)：
1.23         450元
2.25         550元
3.27         700元
4.30         1000元

運費(黑貓)同一地址：
1箱   100元
2箱   130元
3-4箱 180元
#常溫寄送

https://imgur.com/gallery/KG5RnAf

意者站內信，感謝大家!

"
come11419 (天氣涼快些),fruits,[廣宣] 南投竹山過年圍爐必備[筍乾]倥蹄,Wed Jan 19 00:12:22 2022,"我的外公外婆住在南投竹山
家裡在溪頭有一片筍園

每一年、每一季出產的筍種都不同
外公外婆堅持自家栽種、自家採收
從年輕到老，幾十年來不假他手
堅持好品質，自家桌上菜的態度栽種
絕對不灑藥，還常常被猴子偷吃呢！

#筍乾
南投舅舅每年產季到採收新鮮麻竹筍後
親自手工曬乾、壓製、多道工法
絕不使用化學硫磺煙燻上色、防腐劑延長保鮮
配合筍季，做工繁雜，純手工製作
所以一年只賣一次，錯過要再等一年
平常可以放置陰涼或是冷藏保存
開封後建議儘快食用完


#料理
適合滷、焢料理
是一道過年圍爐少不了的[筍乾焢蹄  ]
手藝好的朋友也適合拿來煮[佛跳牆筍乾鋪底]
茹素的朋友們也很適合與[白蘿蔔一起悶滷]
（很多客人會買來送給出家師父的心意喔！）

#價格
1斤（一包）新春特價320元
3斤（三包）賀新年價888元
運費統一收50元
今天下單，明天寄出，過年前到貨
板橋、汐止也可以私訊約面交

圖為自家實拍照，歡迎參考看看
https://i.imgur.com/jv6YS0z.jpg

"
amoment (like this),fruits,[廣宣] 台東鳳梨釋迦，限時特惠價,Sat Feb  5 10:21:55 2022,"新年快樂，新春第一發

凡，下週2/7（一）起至2/19（六）到貨，為期兩週，鳳梨釋迦10斤經濟箱，$600含運，
產地直送新鮮到家！！有大量需求者把握囉～～
https://forms.gle/oKv6fCodZpfHLPeG6

訂購方式：
歡迎自行填寫google表單，或是直接私訊我們都可以☺

https://i.imgur.com/jZMuRQv.jpg

https://i.imgur.com/fktDqEE.jpg

https://i.imgur.com/LAEcPXt.jpg

https://i.imgur.com/PFQdJ21.jpg

https://i.imgur.com/NDSbaAT.jpg

"
Ivypear (想幸福的人),fruits,[廣宣] 自產自銷無農藥樹葡萄,Sun Feb  6 11:49:46 2022,"3/14更新

不好意思讓大家久等了

之前天氣一直太冷，樹葡萄一直不長大

最近天氣溫暖這幾天終於可以開始出貨了喔

目前超大顆已經都沒了，剩少量大顆跟比較多的小顆～

之前有詢問的版友，如果沒有通知到的可能我信箱爆掉不小心刪錯信惹

麻煩再跟我聯絡一次喔，感謝：）

"
shark1997329 (chjh),fruits,[廣宣] 自產自銷嘉義民雄聖女小蕃茄,Tue Feb  8 17:48:04 2022,"大家好~~
現在正是小蕃茄的盛產季節啦~~
所以來宣傳一下我媽老家的果園~~
還請大家參考看看~
有興趣的朋友歡迎到我們新開張的粉專提問！！
https://www.facebook.com/jenchengfruit/

（更新 LINE官方帳號上線啦！）
https://i.imgur.com/FlPlm62.jpg

新年來點紅吱吱！！
""蕃""轉你的疲倦！ヽ((◎д◎))ゝ
""茄""意過每一天！⊂((・▽・))⊃
https://i.imgur.com/BRB3wGd.jpg
https://i.imgur.com/7znI7Qq.jpg
https://i.imgur.com/dYZd8MB.jpg
口感爽脆  鮮甜多汁
薄皮好滋味  富有傳統蕃茄美味

周圍圍網防蟲防塵
https://i.imgur.com/W58e8Dd.jpg

【品名】聖女小蕃茄
【產地】嘉義縣民雄鄉
【規格】6公斤(10盒1箱)  590元
　　　　(大包裝暫停販售)
【配送】全臺免運，離島運費另計(視疫情影響，調整黑貓宅急便/郵局配送)
【付款方式】匯款
https://i.imgur.com/ufVPGeg.jpg
(補充 訂購流程)

謝謝大家(・∀・)



"
